Date,Sentiment_Score
2020-06-01,0.5603471098778149
2020-06-02,0.5232794564217329
2020-06-03,0.5787695654823134
2020-06-04,0.5690616112357626
2020-06-05,0.577253534613798
2020-06-08,0.6947322886747619
2020-06-09,0.6524758821663758
2020-06-10,0.4546530454729994
2020-06-11,0.5568533240972707
2020-06-12,0.5609533661045134
2020-06-15,0.5375310759215305
2020-06-16,0.5861574117249498
2020-06-17,0.5205872150448462
2020-06-18,0.5847562077300003
2020-06-19,0.6362018168438226
2020-06-22,0.598746562221398
2020-06-23,0.6250198016641662
2020-06-24,0.4017827279555301
2020-06-25,0.5392222108785063
2020-06-26,0.5572591973468661
2020-06-29,0.635445644846186
2020-06-30,0.48087643723314005
2020-07-01,0.4553074900371333
2020-07-02,0.4673178722150624
2020-07-06,0.5922976896787683
2020-07-07,0.36500309011898935
2020-07-08,0.5927565434637169
2020-07-09,0.4903104541202386
2020-07-10,0.26343926639917
2020-07-13,0.5081353836382428
2020-07-14,0.592148141314586
2020-07-15,0.5088594594659904
2020-07-16,0.6748381774717321
2020-07-17,0.4408348035843422
2020-07-20,0.44936987369631726
2020-07-21,0.6380971224668125
2020-07-22,0.5021223321091384
2020-07-23,0.45531713659875095
2020-07-24,0.43785643282656866
2020-07-27,0.589909965909707
2020-07-28,0.5306218044521908
2020-07-29,0.5123120735709866
2020-07-30,0.7406270180363208
2020-07-31,0.5300036650151014
2020-08-03,0.5386080401173482
2020-08-04,0.5040646393317729
2020-08-05,0.521257237996906
2020-08-06,0.6731781593213478
2020-08-07,0.5323888710699975
2020-08-10,0.4940234540651242
2020-08-11,0.5660102953358243
2020-08-12,0.5590446709344784
2020-08-13,0.5361740993491063
2020-08-14,0.600577560874323
2020-08-17,0.5143723682267591
2020-08-18,0.6632101008823762
2020-08-19,0.45089734772530693
2020-08-20,0.5797539857060959
2020-08-21,0.5717482341763874
2020-08-24,0.5565603017651787
2020-08-25,0.5078759508517882
2020-08-26,0.5466939692075053
2020-08-27,0.5951280406055351
2020-08-28,0.5417769319998721
2020-08-31,0.593165029383575
2020-09-01,0.591107139014639
2020-09-02,0.4806253956630826
2020-09-03,0.28541597855898243
2020-09-04,0.5265790331953516
2020-09-08,0.4665395860405018
2020-09-09,0.6385359244886786
2020-09-10,0.38505012014259893
2020-09-11,0.4973592668150862
2020-09-14,0.5446341678810617
2020-09-15,0.4241424947977066
2020-09-16,0.5148063433977464
2020-09-17,0.5268328494081894
2020-09-18,0.5883813019221028
2020-09-21,0.6012556547454248
2020-09-22,0.6218732527922839
2020-09-23,0.550186030411472
2020-09-24,0.37024249012271565
2020-09-25,0.5209177238090584
2020-09-28,0.6486944252004226
2020-09-29,0.4595622617440919
2020-09-30,0.5140405292622745
2020-10-01,0.5877264475760361
2020-10-02,0.5098198056221008
2020-10-05,0.5424521764895568
2020-10-06,0.5501802677754313
2020-10-07,0.5059176615128914
2020-10-08,0.5686628568607072
2020-10-09,0.46226014584923786
2020-10-12,0.7277789875709763
2020-10-13,0.513715654068316
2020-10-14,0.542004227793465
2020-10-15,0.5508211518172175
2020-10-16,0.5866216720702747
2020-10-19,0.5927503809798509
2020-10-20,0.49109162654106814
2020-10-21,0.4360222318209708
2020-10-22,0.4236491603466372
2020-10-23,0.4391069537959993
2020-10-26,0.6031371035302678
2020-10-27,0.4504161234168957
2020-10-28,0.5108112294692546
2020-10-29,0.4624483676937719
2020-10-30,0.6863767676210651
2020-11-02,0.49544012849219143
2020-11-03,0.5472547829461595
2020-11-04,0.5152165957260877
2020-11-05,0.5438644616709402
2020-11-06,0.49356916965916753
2020-11-09,0.42396991420537233
2020-11-10,0.3534183289545278
2020-11-11,0.5174744992206494
2020-11-12,0.5711615462787449
2020-11-13,0.49470669543370605
2020-11-16,0.5190666448324919
2020-11-17,0.730565471535859
2020-11-18,0.5332375812965134
2020-11-19,0.5863986747184148
2020-11-20,0.455632626855125
2020-11-23,0.5843441722293695
2020-11-24,0.5188093259930611
2020-11-25,0.5344673084716002
2020-11-27,0.4847543996293098
2020-11-30,0.5487123041724166
2020-12-01,0.6980990520678461
2020-12-02,0.47184965875931084
2020-12-03,0.45695149386301637
2020-12-04,0.5306345011728505
2020-12-07,0.6562977201926211
2020-12-08,0.5769625226967037
2020-12-09,0.3793518944488217
2020-12-10,0.5280339893264075
2020-12-11,0.47460707331386703
2020-12-14,0.55514161560374
2020-12-15,0.6127652251937737
2020-12-16,0.5817266778709987
2020-12-17,0.5501702692514906
2020-12-18,0.5543925619373719
2020-12-21,0.5365800571162254
2020-12-22,0.46839249196151894
2020-12-23,0.5734273334189007
2020-12-24,0.5314411884173751
2020-12-28,0.6637473943022391
2020-12-29,0.575636439723894
2020-12-30,0.7011942870449275
2020-12-31,0.5847244540539881
2021-01-04,0.5262189080628256
2021-01-05,0.4934003876211743
2021-01-06,0.5325545735346774
2021-01-07,0.40988236231108505
2021-01-08,0.5232911050940553
2021-01-11,0.572621762054041
2021-01-12,0.5630421111515412
2021-01-13,0.4393811156818022
2021-01-14,0.4824240216985345
2021-01-15,0.5982016225655874
2021-01-19,0.4561668560684969
2021-01-20,0.4912266942361991
2021-01-21,0.5696273779030889
2021-01-22,0.4900799077004194
2021-01-25,0.4769030235086878
2021-01-26,0.5696937221412858
2021-01-27,0.5476599452861896
2021-01-28,0.49591827384817105
2021-01-29,0.5430242531001568
2021-02-01,0.5535092706171175
2021-02-02,0.4824357003283997
2021-02-03,0.507980554519842
2021-02-04,0.5770527247029046
2021-02-05,0.6003184181948503
2021-02-08,0.5492117325775325
