x1,x2
M2SL,CASH_FLOW_paymentsForRepurchaseOfCommonStock
M2SL,M1SL
M2SL,PPIACO
M1SL,BALANCE_SHEET_capitalLeaseObligations
M1SL,M2SL
FEDFUNDS,INCOME_STATEMENT_interestIncome
FEDFUNDS,BALANCE_SHEET_commonStockSharesOutstanding
FEDFUNDS,CPIAUCSL
PPIACO,CASH_FLOW_paymentsForRepurchaseOfCommonStock
PPIACO,M2SL
PPIACO,CPIAUCSL
PPIACO,UNRATE
RTWEXBGS,CASH_FLOW_depreciationDepletionAndAmortization
RTWEXBGS,CPIAUCSL
CPIAUCSL,Close
CPIAUCSL,INCOME_STATEMENT_nonInterestIncome
CPIAUCSL,FEDFUNDS
CPIAUCSL,PPIACO
CPIAUCSL,RTWEXBGS
UNRATE,BALANCE_SHEET_investments
UNRATE,PPIACO
