M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_inventory,CASH_FLOW_paymentsForRepurchaseOfCommonStock,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_totalRevenue,Quarterly_Return,fiscalDateEnding
0.8118934053104636,0.4508812981813934,0.963498791804538,0.7229758697439448,1.165110945214073,1.5051185300346124,-0.2446503208285047,15023000000,128871000000,1237000000,2270000000,13000000,5326000000,32298000000,0.0350000208074403,2024-12-31
0.6977314697506094,0.4090946029472249,1.2700636524705695,0.6909983302505033,1.08011975337787,1.3845500789549057,-0.2446503208285047,15087000000,127964000000,17331000000,2529000000,43000000,2116000000,30213000000,0.1512296858893349,2024-09-30
0.6294277349204106,0.3970706940995908,1.364391301906272,0.8048214664209892,1.0056418752740055,1.309194797030088,-0.3369473410893877,15268000000,127772000000,17174000000,1816000000,2000000,5760000000,29797000000,0.085795465690539,2024-06-30
0.5438768033307282,0.3827832723714271,1.364391301906272,0.775978289278778,0.5299504333846666,1.264332117558572,-0.3830958512198291,15277000000,127851000000,17291000000,2127000000,157000000,5847000000,30028000000,0.048867679455868,2024-03-31
0.5057959600183164,0.3897022372757399,1.364391301906272,0.5918256967554273,1.1957867784330931,1.116600716017594,-0.4753928714807119,16128000000,128489000000,1655000000,2177000000,4000000,5271000000,32022000000,0.1171771088710011,2023-12-31
0.5235267230420848,0.4322113302377369,1.364391301906272,0.9111784810357392,0.1811799942640373,1.0569736586340626,-0.4753928714807119,16150000000,128496000000,1663000000,2520000000,1000000,5782000000,30350000000,-0.0583071700703853,2023-09-30
0.548631871596193,0.4843042330555923,1.246481740111644,0.7324846094611578,0.4197766661895883,0.91349194450396,-0.5215413816111534,16158000000,128783000000,1811000000,2348000000,1000000,6406000000,29917000000,-0.1714285813368744,2023-06-30
0.67258602400781,0.6071118467864376,1.0436772938248848,0.8452512189963979,0.4894196544165448,0.8058916117089889,-0.5215413816111534,16166000000,128458000000,1758000000,2791000000,188000000,6002000000,30139000000,0.0456273850923465,2023-03-31
0.7725230519599593,0.7052776713569107,0.7842762578767036,0.8746578770107399,1.9577037010354,0.6816868301643071,-0.5215413816111534,17082000000,127445000000,1647000000,3123000000,15000000,-21092000000,31343000000,0.2001303562116561,2022-12-31
0.8772151481775751,0.7894450332903514,0.0579533572217976,1.2268686396471984,1.168629099124504,0.5771094708884136,-0.5215413816111534,17148000000,127045000000,1476000000,3935000000,3000000,6012000000,30043000000,-0.2681297317445058,2022-09-30
0.9054634774495328,0.8248104153882672,-0.5787582764691915,1.6619110904869283,0.0214023143318308,0.5180081480299389,-0.5215413816111534,17160000000,125135000000,1542000000,3241000000,675000000,4956000000,29643000000,0.1743986498516556,2022-06-30
0.874555533724009,0.8089176653760402,-1.055112906119487,0.9492134399045892,-0.3957972470466594,0.1848238927751541,-0.4292443613502706,16553000000,127159000000,1509000000,3153000000,197000000,5537000000,29712000000,-0.0394308686867503,2022-03-31
0.7562429877290455,0.7557491926078623,-1.1117094957809084,0.2914903919095403,-0.7279644685899896,-0.1070025798418238,-0.2446503208285047,17280000000,121649000000,1442000000,3464000000,11000000,4894000000,31095000000,-0.0892263142138164,2021-12-31
0.5615269719771155,0.6714212978460152,-1.1117094957809084,0.0921590333931571,-1.0087172654422838,-0.4077227281743458,0.170686270345468,17319000000,124419000000,1574000000,3088000000,6000000,6237000000,31326000000,-0.0615009899502739,2021-09-30
0.3976383055733283,0.5981862215270457,-1.1117094957809084,-0.1465455510633877,-1.3063201678655911,-0.5493205602563276,0.4937258412585582,17332000000,123591000000,1606000000,2810000000,9000000,7572000000,35740000000,-0.0492236551055449,2021-06-30
0.0484228683824714,0.4469000840369165,-1.1164258782526937,-0.6360695587272973,-1.721647495291746,-0.8061856869570243,0.6783198817803241,17342000000,124607000000,1747000000,3347000000,176000000,7194000000,35877000000,0.0525035008656027,2021-03-31
-0.1925140227973279,0.3330180955654636,-1.106993113309123,-1.1467240990961236,-0.8904990644520114,-0.9289446985577992,0.9090624324325312,17910000000,121104000000,1847000000,3592000000,15000000,-8778000000,16981000000,0.0087687659172839,2020-12-31
-0.4307107051461801,0.2183816028005003,-1.106993113309123,-1.3228118716370982,-0.4257324162845375,-1.0186700575008365,1.693587104650036,17950000000,128722000000,1732000000,13948000000,3000000,6132000000,42340000000,-0.0568971026375598,2020-09-30
-0.6377576606373668,0.1135055060026425,-1.1117094957809084,-1.4742473560223368,0.382229117145516,-1.1481321842960897,3.908715590911224,17945000000,128945000000,1683000000,14514000000,17000000,3532000000,40950000000,0.0370497463061769,2020-06-30
-1.610773578755351,-1.8555741139466069,-0.8428756948891575,-1.4073340024567662,-1.0267400889834415,-1.1028313927203548,-0.5676898917415949,17957000000,128921000000,1581000000,-14000000,5463000000,7486000000,42779000000,-0.2540941614484261,2020-03-31
-1.683510004341492,-1.8598763937478968,-0.4184012724284979,-1.199550430858416,-0.7288697245669434,-1.0785599821468976,-0.5215413816111534,13085000000,130128000000,1872000000,2864000000,2008000000,5321000000,46821000000,0.0327696233267884,2019-12-31
-1.8147579479060685,-1.874452774567192,-0.1872985313110278,-1.2206809635633329,-1.0293118389179676,-1.1749446450739878,-0.5215413816111534,11195000000,131316000000,1823000000,-2000000,169000000,7901000000,44588000000,0.0,2019-09-30
