M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_otherNonOperatingIncome,M2SL,CPIAUCSL,CASH_FLOW_paymentsForRepurchaseOfCommonStock,UNRATE,PPIACO,M1SL,CASH_FLOW_cashflowFromFinancing,Quarterly_Return,fiscalDateEnding
0.7582578471635647,0.4648155476870637,1.1285721783170166,0.7050501344992731,1.9965062640475215,1.5051185300346124,-0.2907988309589464,5707000000,454000000,0.7582578471635647,1.5051185300346124,15551000000,-0.2907988309589464,0.7050501344992731,0.4648155476870637,-19036000000,0.1390633390782349,2024-12-31
0.6619072690048585,0.4174583633071952,1.364391301906272,0.8543725656140209,0.8351039936157432,1.3845500789549057,-0.2907988309589464,5405000000,70000000,0.6619072690048585,1.3845500789549057,15291000000,-0.2907988309589464,0.8543725656140209,0.4174583633071952,-20094000000,-0.0884854208350258,2024-09-30
0.5966258233264383,0.4026732898109715,1.364391301906272,0.8422929444177094,1.188565304616945,1.309194797030088,-0.2907988309589464,3932000000,140000000,0.5966258233264383,1.309194797030088,15684000000,-0.2907988309589464,0.8422929444177094,0.4026732898109715,-20889000000,0.2046499723255301,2024-06-30
0.5276370362885041,0.3935068653089701,1.364391301906272,0.6425389752472279,0.7098083368056521,1.264332117558572,-0.3830958512198291,4653000000,255000000,0.5276370362885041,1.264332117558572,15696000000,-0.3830958512198291,0.6425389752472279,0.3935068653089701,-19714000000,0.0803945392739802,2024-03-31
0.4985021688653562,0.3903122620236838,1.364391301906272,0.7793943920660732,0.472754714840818,1.116600716017594,-0.4292443613502706,3725000000,-47000000,0.4985021688653562,1.116600716017594,16191000000,-0.4292443613502706,0.7793943920660732,0.3903122620236838,-19308000000,0.0688660307314448,2023-12-31
0.5328756708182539,0.4127065915863674,1.2653472699987849,0.7316041705984527,0.8632903728981444,1.0569736586340626,-0.4292443613502706,1508000000,120000000,0.5328756708182539,1.0569736586340626,15787000000,-0.4292443613502706,0.7316041705984527,0.4127065915863674,-18382000000,0.0899396939160381,2023-09-30
0.5106316226611624,0.466533248951011,1.1285721783170166,0.839827715602136,0.4440745595709862,0.91349194450396,-0.5215413816111534,3535000000,94000000,0.5106316226611624,0.91349194450396,14969000000,-0.5215413816111534,0.839827715602136,0.466533248951011,-17835000000,0.1631730886606079,2023-06-30
0.7003910842041741,0.5439742853742267,0.8927530547277613,0.9567147790148336,0.6668292518998596,0.8058916117089889,-0.5676898917415949,3154000000,132000000,0.7003910842041741,0.8058916117089889,14557000000,-0.5676898917415949,0.9567147790148336,0.5439742853742267,-16568000000,0.1720950756830253,2023-03-31
0.7992400880616843,0.6719992160282778,0.3032052457546231,1.126956437507448,0.9267200132832824,0.6816868301643071,-0.5676898917415949,3523000000,104000000,0.7992400880616843,0.6816868301643071,15407000000,-0.5676898917415949,1.126956437507448,0.6719992160282778,-17629000000,-0.0771710665750536,2022-12-31
0.8844283449531527,0.7595859272067733,-0.3570883002952916,1.3809806581750586,1.6344655952647411,0.5771094708884136,-0.5676898917415949,2323000000,143000000,0.8844283449531527,0.5771094708884136,15392000000,-0.5676898917415949,1.3809806581750586,0.7595859272067733,-18097000000,-0.1208941582926829,2022-09-30
0.9160616380751032,0.8129791459347203,-0.9937999339862807,1.1357256085799892,0.7504419857711584,0.5180081480299389,-0.5215413816111534,3012000000,259000000,0.9160616380751032,0.5180081480299389,15197000000,-0.5215413816111534,1.1357256085799892,0.8129791459347203,-17817000000,-0.216807126693741,2022-06-30
0.8525129715103692,0.8264799568036927,-1.1117094957809084,0.4716281832189576,-0.1095511923342172,0.1848238927751541,-0.4753928714807119,2498000000,-125000000,0.8525129715103692,0.1848238927751541,13300000000,-0.4753928714807119,0.4716281832189576,0.8264799568036927,-16214000000,-0.0347664916350569,2022-03-31
0.6862064737851605,0.786202270156544,-1.1117094957809084,0.2607454668238865,-0.2522113047022229,-0.1070025798418238,-0.3830958512198291,3760000000,120000000,0.6862064737851605,-0.1070025798418238,13473000000,-0.3830958512198291,0.2607454668238865,0.786202270156544,-16511000000,0.0856485828209139,2021-12-31
0.4765804982177888,0.6942490660453955,-1.1022767308373382,-0.042653765264213,-0.9162577117962186,-0.4077227281743458,-0.0139077701762975,4128000000,8000000,0.4765804982177888,-0.4077227281743458,12610000000,-0.0139077701762975,-0.042653765264213,0.6942490660453955,-15254000000,0.0634356420375041,2021-09-30
0.2749333660111127,0.6081232036053974,-1.1164258782526937,-0.5339386506535319,-1.322162147462269,-0.5493205602563276,0.5398743513889999,3460000000,-90000000,0.2749333660111127,-0.5493205602563276,12796000000,0.5398743513889999,-0.5339386506535319,0.6081232036053974,-15991000000,0.2115844583016843,2021-06-30
-0.046759091304213,0.4907897593232084,-1.106993113309123,-0.995288614710885,-1.2717969967445188,-0.8061856869570243,0.6321713716498824,3353000000,373000000,-0.046759091304213,-0.8061856869570243,11395000000,0.6321713716498824,-0.995288614710885,0.4907897593232084,-13606000000,0.1808057767181459,2021-03-31
-0.279233572859032,0.3635353862455074,-1.106993113309123,-1.2875943171289033,-1.56748651721654,-0.9289446985577992,0.9090624324325312,3462000000,-420000000,-0.279233572859032,-0.9289446985577992,7904000000,0.9090624324325312,-1.2875943171289033,0.3635353862455074,-9270000000,0.1920794470371267,2020-12-31
