M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE,M1SL,M2SL,INCOME_STATEMENT_operatingIncome,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_capitalExpenditures,CASH_FLOW_operatingCashflow,CASH_FLOW_changeInOperatingLiabilities,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,Quarterly_Return,fiscalDateEnding
0.7582578471635647,0.4303973092767454,1.1285721783170166,0.7229758697439448,1.165110945214073,1.5051185300346124,-0.2446503208285047,0.4303973092767454,0.7582578471635647,21203000000,-37443000000,27834000000,45636000000,10337000000,78779000000,0.1774271305410582,2024-12-31
0.6619072690048585,0.3998479120310202,1.364391301906272,0.6909983302505033,1.08011975337787,1.3845500789549057,-0.2446503208285047,0.3998479120310202,0.6619072690048585,17411000000,-16899000000,22620000000,25971000000,-56000000,75091000000,-0.0358085286879431,2024-09-30
0.5966258233264383,0.3912754589941218,1.364391301906272,0.8048214664209892,1.0056418752740055,1.309194797030088,-0.3369473410893877,0.3912754589941218,0.5966258233264383,14672000000,-22138000000,17620000000,25281000000,6412000000,71178000000,0.0713493445437551,2024-06-30
0.5276370362885041,0.3845170269182154,1.364391301906272,0.775978289278778,0.5299504333846666,1.264332117558572,-0.3830958512198291,0.3845170269182154,0.5276370362885041,15307000000,-17862000000,14925000000,18989000000,-9714000000,72852000000,0.1871791627249317,2024-03-31
0.4985021688653562,0.3995750062227294,1.364391301906272,0.5918256967554273,1.1957867784330931,1.116600716017594,-0.4753928714807119,0.3995750062227294,0.4985021688653562,13209000000,-12601000000,14588000000,42465000000,14517000000,73387000000,0.1952485773958314,2023-12-31
0.5328756708182539,0.4499502077766368,1.2653472699987849,0.9111784810357392,0.1811799942640373,1.0569736586340626,-0.4753928714807119,0.4499502077766368,0.5328756708182539,11188000000,-11753000000,12479000000,21217000000,2795000000,49605000000,-0.0248542332663362,2023-09-30
0.5106316226611624,0.492555620435678,1.1285721783170166,0.7324846094611578,0.4197766661895883,0.91349194450396,-0.5215413816111534,0.492555620435678,0.5106316226611624,7681000000,-9673000000,11455000000,16476000000,3185000000,49529000000,0.2620776401867082,2023-06-30
0.7003910842041741,0.6379502031232946,0.8927530547277613,0.8452512189963979,0.4894196544165448,0.8058916117089889,-0.5215413816111534,0.6379502031232946,0.7003910842041741,4774000000,-15806000000,14207000000,4788000000,-10446000000,49343000000,0.2296428680419944,2023-03-31
0.7992400880616843,0.732552198903147,0.3032052457546231,0.8746578770107399,1.9577037010354,0.6816868301643071,-0.5215413816111534,0.732552198903147,0.7992400880616843,2737000000,-10821000000,16592000000,29173000000,1300000000,53888000000,-0.2566371681415915,2022-12-31
0.8844283449531527,0.8021913398658146,-0.3570883002952916,1.2268686396471984,1.168629099124504,0.5771094708884136,-0.5215413816111534,0.8021913398658146,0.8844283449531527,2525000000,-15608000000,16378000000,11404000000,-1172000000,34947000000,0.0639299592699098,2022-09-30
