Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome,observation_date,GDP,M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE
ABT,2024-09-30,USD,2583000000,10646000000,8063000000,4698000000,1859000000,2895000000,713000000,4078000000,91000000,-51000000,91000000,142000000,10646000000,121000000,331000000,470000000,1940000000,294000000,142000000,1646000000,1977000000,1859000000,2329000000,1646000000,USD,74356000000,23802000000,7558000000,7788000000,6813000000,7051000000,42543000000,10621000000,12236000000,31010000000,7352000000,23658000000,170000000,912000000,230000000,,,34560000000,14902000000,4034000000,572000000.0,2154000000,2154000000,12825000000,,14979000000,2154000000,12825000000,14979000000,8001000000,6601000000.0,39796000000,16476000000,39056000000,25020000000,1739466000,USD,2705000000,434000000,,,-163000000,470000000,556000000,57000000,-220000000,1646000000,-594000000,-1576000000,44000000,751000000,751000000,,960000000,960000000,,,1000000,,-659000000,,,,1646000000,2024-09-30,1.438721014584474,0.6619072690048585,0.39984791203102027,1.364391301906272,0.6909983302505033,0.8351039936157432,1.3845500789549057,-0.2446503208285047
ABT,2024-06-30,USD,2373000000,10383000000,8010000000,4603000000,1669000000,2936000000,698000000,4105000000,82000000,-58000000,82000000,58000000,10383000000,-10000000,334000000,471000000,1607000000,305000000,140000000,1302000000,1333000000,1669000000,2140000000,1302000000,USD,73017000000,23119000000,6987000000,7219000000,6814000000,6854000000,42245000000,10233000000,11828000000,31135000000,7827000000,23308000000,162000000,877000000,232000000,4254000000.0,,33699000000,13760000000,4125000000,544000000.0,1615000000,1615000000,13139000000,,14754000000,1615000000,13139000000,14754000000,7419000000,6558000000.0,39318000000,15759000000,38354000000,24858000000,1743040000,USD,1960000000,522000000,,,428000000,471000000,533000000,325000000,103000000,1302000000,-453000000,-791000000,-43000000,3000000,3000000,,961000000,961000000,,,0,,10000000,,,,1302000000,2024-06-30,1.3214810689022394,0.5966258233264383,0.3912754589941218,1.364391301906272,0.8048214664209892,1.188565304616945,1.3091947970300881,-0.38309585121982914
ABT,2024-03-31,USD,1921000000,9823000000,7902000000,4463000000,1386000000,2959000000,684000000,4137000000,80000000,-141000000,80000000,141000000,9964000000,111000000,333000000,472000000,1436000000,211000000,141000000,1225000000,898000000,1577000000,2049000000,1225000000,USD,72467000000,22376000000,6284000000,6651000000,6827000000,6605000000,42604000000,10107000000,11948000000,31679000000,8296000000,23383000000,154000000,818000000,367000000,4416000000.0,,33657000000,14021000000,4178000000,549000000.0,2010000000,2010000000,12576000000,,14586000000,2010000000,12576000000,14586000000,6709000000,6827000000.0,38810000000,15761000000,38011000000,24726000000,1740203000,USD,1025000000,225000000,,,561000000,805000000,398000000,151000000,410000000,1225000000,-425000000,-1176000000,-127000000,226000000,226000000,,957000000,957000000,,,0,,-92000000,,,,1225000000,2024-03-31,1.1929671703193223,0.5276370362885041,0.38451702691821543,1.364391301906272,0.775978289278778,0.7098083368056521,1.264332117558572,-0.4753928714807119
ABT,2023-12-31,USD,1799000000,10058000000,8259000000,4556000000,1780000000,2724000000,700000000,3909000000,89000000,-159000000,89000000,159000000,10217000000,109000000,332000000,481000000,1795000000,201000000,159000000,1594000000,2235000000,1954000000,2435000000,1594000000,USD,73214000000,22670000000,6896000000,7279000000,6570000000,6565000000,44625000000,10154000000,11779000000,32494000000,8815000000,23679000000,141000000,799000000,383000000,4343000000.0,,34611000000,13841000000,4295000000,545000000.0,1080000000,1080000000,19978000000,949000000.0,14679000000,1080000000,13599000000,14679000000,7974000000,3466000000.0,38603000000,15981000000,37554000000,24869000000,1739235000,USD,3038000000,-242000000,,,179000000,813000000,755000000,-68000000,-295000000,1594000000,-824000000,-2052000000,111000000,259000000,259000000,,888000000,888000000,,,0,,-225000000,,,,1594000000,2023-12-31,1.0859056942932193,0.4985021688653562,0.3995750062227294,1.364391301906272,0.5918256967554273,0.47275471484081805,1.1166007160175941,-0.38309585121982914
ABT,2023-09-30,USD,2163000000,9987000000,7824000000,4605000000,1647000000,2723000000,672000000,3891000000,97000000,-166000000,59000000,166000000,10153000000,83000000,328000000,496000000,1671000000,235000000,166000000,1436000000,1027000000,1837000000,2333000000,1436000000,USD,72090000000,22664000000,6709000000,7047000000,6650000000,6499000000,42899000000,9552000000,11559000000,32559000000,9282000000,23277000000,175000000,788000000,338000000,8967000000.0,,34609000000,13042000000,3961000000,554000000.0,1051000000,1051000000,14477000000,,15528000000,1051000000,14477000000,15528000000,7712000000,6877000000.0,37481000000,15686000000,36920000000,24727000000,1738700000,USD,1877000000,343000000,,,321000000,496000000,560000000,461000000,-140000000,1436000000,-634000000,-2340000000,-61000000,2000000,2000000,,888000000,888000000,,,0,,54000000,,,,1436000000,2023-09-30,0.9781346252960409,0.5328756708182539,0.4499502077766368,1.364391301906272,0.9111784810357393,0.8632903728981444,1.0569736586340626,-0.5676898917415949
ABT,2023-06-30,USD,2077000000,9798000000,7721000000,4483000000,1542000000,2740000000,715000000,3953000000,98000000,-159000000,82000000,159000000,9957000000,176000000,302000000,498000000,1636000000,261000000,159000000,1375000000,1343000000,1795000000,2293000000,1375000000,USD,73354000000,23505000000,7835000000,8155000000,6871000000,6172000000,43340000000,9449000000,11477000000,33092000000,9834000000,23258000000,164000000,799000000,320000000,8479000000.0,,36180000000,14350000000,4211000000,551000000.0,2284000000,2284000000,14562000000,,16846000000,2284000000,14562000000,16846000000,7582000000,7038000000.0,37174000000,15722000000,36355000000,24612000000,1740359000,USD,1203000000,715000000,,,444000000,498000000,507000000,196000000,248000000,1375000000,-1213000000,-1289000000,13000000,426000000,426000000,,890000000,890000000,,,0,,-411000000,,-1299000000.0,,1375000000,2023-06-30,0.809939489151211,0.5106316226611624,0.492555620435678,1.2370489751680738,0.7324846094611578,0.44407455957098624,0.9134919445039601,-0.6138384018720363
ABT,2023-03-31,USD,2004000000,9588000000,7584000000,4331000000,1509000000,2762000000,654000000,3915000000,101000000,-153000000,58000000,153000000,9741000000,111000000,315000000,491000000,1562000000,244000000,153000000,1318000000,1330000000,1715000000,2206000000,1318000000,USD,73794000000,24377000000,9161000000,9532000000,6673000000,6020000000,42991000000,9282000000,11323000000,32933000000,10006000000,22927000000,162000000,776000000,371000000,8881000000.0,,36784000000,14530000000,4167000000,529000000.0,2285000000,2251000000,14615000000,,16900000000,2285000000,14615000000,16900000000,8631000000,7417000000.0,37010000000,15307000000,35868000000,24488000000,1741738000,USD,1143000000,122000000,,,186000000,806000000,380000000,-233000000,419000000,1318000000,-462000000,-1410000000,-42000000,540000000,540000000,,890000000,890000000,,,0,,-478000000,,-729000000.0,,1318000000,2023-03-31,0.7151996630278257,0.7003910842041741,0.6379502031232946,1.005946234050604,0.8452512189963979,0.6668292518998596,0.8058916117089889,-0.5676898917415949
ABT,2022-12-31,USD,1372000000,9951000000,8579000000,4593000000,1304000000,2973000000,725000000,4301000000,88000000,-154000000,52000000,154000000,10105000000,68000000,311000000,496000000,1320000000,287000000,154000000,1033000000,2427000000,1474000000,1970000000,1033000000,USD,74438000000,25224000000,9882000000,10170000000,6173000000,6218000000,44368000000,9162000000,11050000000,33253000000,10454000000,22799000000,169000000,766000000,288000000,2663000000.0,,37752000000,15489000000,4607000000,500000000.0,2251000000,2251000000,21053000000,943000000.0,16773000000,2251000000,14522000000,16773000000,8631000000,3804000000.0,36686000000,15229000000,35257000000,24709000000,1743373000,USD,2326000000,-150000000,,,-77000000,807000000,610000000,-341000000,189000000,9339000000,-632000000,-1457000000,10000000,685000000,685000000,,823000000,823000000,,,0,,-644000000,,237000000.0,,1033000000,2022-12-31,0.5744325208756568,0.7992400880616843,0.732552198903147,0.6333520187795804,0.8746578770107399,0.9267200132832824,0.6816868301643071,-0.5215413816111534
ABT,2022-09-30,USD,2392000000,10250000000,7858000000,4629000000,1770000000,2731000000,782000000,4011000000,55000000,-141000000,105000000,141000000,10391000000,93000000,317000000,498000000,1758000000,323000000,141000000,1435000000,696000000,1899000000,2397000000,1435000000,USD,72801000000,24845000000,9594000000,9907000000,5734000000,6408000000,42587000000,8689000000,10617000000,33134000000,10850000000,22284000000,228000000,764000000,313000000,2796000000.0,,37126000000,13365000000,4133000000,478000000.0,1117000000,1117000000,15297000000,,17531000000,1117000000,15297000000,16414000000,8115000000,8255000000.0,35675000000,14555000000,35115000000,24560000000,1752968000,USD,2780000000,330000000,,,-336000000,498000000,467000000,-530000000,194000000,1435000000,-484000000,-1543000000,24000000,798000000,798000000,,826000000,826000000,,,1000000,,-741000000,,753000000.0,,1435000000,2022-09-30,0.4231314579757582,0.8844283449531527,0.8021913398658146,-0.050523439629259745,1.2268686396471984,1.6344655952647411,0.5771094708884136,-0.5676898917415949
ABT,2022-06-30,USD,2928000000,11125000000,8197000000,4933000000,2376000000,2757000000,684000000,3948000000,26000000,-132000000,26000000,132000000,11257000000,82000000,315000000,507000000,2352000000,334000000,132000000,2018000000,1786000000,2484000000,2991000000,2018000000,USD,74202000000,24956000000,8937000000,9290000000,5899000000,7199000000,43888000000,8818000000,10640000000,34336000000,11592000000,22744000000,227000000,734000000,353000000,2568000000.0,,37712000000,12392000000,4493000000,490000000.0,5000000,5000000,16755000000,,16765000000,5000000,16755000000,16760000000,7894000000,8339000000.0,36490000000,13720000000,34487000000,24429000000,1753865000,USD,2410000000,462000000,,,664000000,507000000,379000000,188000000,476000000,2018000000,-264000000,-813000000,5000000,5000000,5000000,,828000000,828000000,,,0,,5000000,,1333000000.0,,2018000000,2022-06-30,0.27053623889152884,0.9160616380751032,0.8292250681694414,-0.7862791052277361,1.6619110904869285,0.7504419857711584,0.5180081480299389,-0.4753928714807119
